signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,pnl,outcome
S001,POWERGRID,2022-01-03 11:30:00+05:30,-0.0695,-0.0943,0,,1.0459,25.0,-0.685,0,0.1143,0.0,9,0,1,0,9,10,-0.7589,L
S002,POWERGRID,2022-01-03 12:35:00+05:30,-0.0182,-0.0746,3,3.0,0.3379,75.0,-0.2857,0,0.3956,1.0,1,0,1,0,1,2,-0.5179,L
S003,POWERGRID,2022-01-03 12:50:00+05:30,0.0033,-0.0182,0,,0.8292,85.71,-1.0,0,1.6325,,0,0,0,1,0,1,-0.5804,L
S004,POWERGRID,2022-01-03 13:10:00+05:30,0.0083,0.0116,2,2.0,0.4317,40.0,0.0811,0,0.7191,,0,0,1,1,0,1,-0.5357,L
S005,POWERGRID,2022-01-03 13:20:00+05:30,-0.0182,0.0149,0,,0.779,0.0,-0.1304,0,0.5564,1.0,2,0,1,0,2,3,-0.5536,L
S006,POWERGRID,2022-01-04 12:15:00+05:30,-0.374,-0.3488,0,,1.1487,16.67,-0.6875,0,0.6978,1.0,9,1,0,0,9,10,1.0,EOD+
S007,POWERGRID,2022-01-04 13:10:00+05:30,-0.0539,-0.1534,0,,0.0,75.0,,1,0.6046,0.0,2,1,1,0,2,3,1.0446,W
S008,POWERGRID,2022-01-04 13:40:00+05:30,0.0734,0.0571,3,3.0,0.3076,0.0,1.069,0,0.9768,,0,0,0,1,0,1,1.0607,W
S009,POWERGRID,2022-01-05 09:15:00+05:30,,,0,,2.0,21.88,-0.2778,0,3.5517,,0,1,0,1,0,1,-1.125,L
S010,POWERGRID,2022-01-05 09:25:00+05:30,,,0,,0.2368,54.55,0.7391,0,0.745,,0,0,0,1,0,1,-1.2143,L
S011,POWERGRID,2022-01-05 09:35:00+05:30,,,0,,0.6206,66.67,-0.84,0,0.7754,,0,1,0,1,0,1,-1.2589,L
S012,POWERGRID,2022-01-05 10:05:00+05:30,0.0777,0.0502,4,3.0,0.1278,33.33,0.7391,0,0.3352,,0,0,0,1,0,1,-1.125,L
S013,POWERGRID,2022-01-05 11:30:00+05:30,-0.0795,-0.0616,0,,1.6032,50.0,-0.7183,0,0.3082,1.0,9,1,1,0,9,10,-0.5536,L
S014,POWERGRID,2022-01-05 12:25:00+05:30,-0.0341,-0.1268,0,,0.0237,50.0,19.0,0,0.3895,,0,1,1,1,0,1,-0.5268,L
S015,POWERGRID,2022-01-05 12:40:00+05:30,0.013,-0.0341,1,1.0,0.7,42.86,-0.3846,0,1.8934,1.0,5,0,0,0,5,6,-0.5804,L
S016,POWERGRID,2022-01-05 13:15:00+05:30,-0.0521,-0.0455,0,,1.7306,100.0,-1.0,0,0.4978,0.0,2,0,0,0,2,3,-0.6429,L
S017,POWERGRID,2022-01-05 13:35:00+05:30,-0.0342,-0.0651,0,,0.8419,0.0,0.1236,0,0.5679,,0,0,1,1,0,1,-0.6607,L
S018,POWERGRID,2022-01-05 14:15:00+05:30,-0.1271,-0.0749,0,,1.6091,20.0,-0.661,0,2.8621,1.0,9,0,0,0,9,10,-0.6875,L
S019,POWERGRID,2022-01-06 12:20:00+05:30,-0.1161,-0.1426,0,,1.5463,33.33,-1.0,0,0.6922,1.0,9,1,0,0,9,10,0.8,EOD+
S020,POWERGRID,2022-01-06 14:50:00+05:30,0.0696,0.0946,20,4.0,0.8885,66.67,-0.3939,0,1.0688,0.0,1,1,1,0,1,2,0.5,EOD+
S021,POWERGRID,2022-01-06 15:05:00+05:30,0.0481,0.0696,0,,0.0686,66.67,-1.0,0,1.2381,0.0,1,0,1,0,1,2,0.45,EOD+
S022,POWERGRID,2022-01-06 15:20:00+05:30,0.0265,0.0481,0,,0.1273,0.0,1.5,0,2.2384,,0,1,1,1,0,1,0.45,EOD+
S023,POWERGRID,2022-01-07 13:00:00+05:30,-0.1755,-0.1803,0,,3.2,0.0,-0.8125,0,0.239,0.0,9,0,1,0,9,10,-0.625,L
S024,POWERGRID,2022-01-07 13:55:00+05:30,-0.1263,-0.1877,0,,1.575,25.0,-0.7661,0,0.5602,0.0,8,0,1,0,8,9,0.0,EOD-
S025,POWERGRID,2022-01-07 14:45:00+05:30,-0.0449,-0.0965,0,,0.6111,33.33,-0.6364,0,1.8608,1.0,4,1,0,0,4,5,0.0,EOD-
S026,POWERGRID,2022-01-10 10:10:00+05:30,0.1261,0.1528,11,11.0,0.209,57.14,0.5,0,0.2492,,0,1,0,1,0,1,-1.1964,L
S027,POWERGRID,2022-01-10 10:45:00+05:30,0.1275,0.1591,5,1.0,0.6287,65.0,-0.3814,0,2.1432,0.0,1,1,0,0,1,2,-0.9643,L
S028,POWERGRID,2022-01-10 11:00:00+05:30,0.0944,0.1275,1,1.0,0.2983,78.57,-0.1837,0,2.7277,1.0,1,0,0,0,1,2,-1.0268,L
S029,POWERGRID,2022-01-10 13:35:00+05:30,-0.1452,-0.1984,0,,2.4431,33.33,-0.8876,0,1.55,1.0,9,0,0,0,9,10,0.0,EOD-
S030,POWERGRID,2022-01-10 14:30:00+05:30,-0.0753,-0.1187,0,,0.385,0.0,-0.0909,0,1.1121,0.0,1,0,0,0,1,2,0.15,EOD+
S031,POWERGRID,2022-01-10 14:45:00+05:30,-0.0268,-0.0753,0,,0.6349,0.0,0.0256,0,2.8607,,0,0,0,1,0,1,0.1,EOD+
S032,POWERGRID,2022-01-10 14:55:00+05:30,0.0033,-0.0418,0,,0.0583,50.0,-1.0,0,1.5338,,0,0,1,1,0,1,0.1,EOD+
S033,POWERGRID,2022-01-10 15:05:00+05:30,0.0117,-0.01,0,,0.8145,42.86,-0.6875,0,1.7173,0.0,3,1,1,0,3,4,0.1,EOD+
S034,POWERGRID,2022-01-11 09:15:00+05:30,,,0,,0.9882,4.76,1.2917,0,1.5345,,0,1,0,1,0,1,-0.6071,L
S035,POWERGRID,2022-01-11 10:20:00+05:30,0.1233,0.1268,12,11.0,0.1225,70.0,0.9048,0,0.3254,,0,0,1,1,0,1,-1.0714,L
S036,POWERGRID,2022-01-11 12:10:00+05:30,-0.137,-0.1135,0,,2.6511,20.0,-0.6629,0,2.0696,1.0,9,1,0,0,9,10,-0.4196,L
S037,POWERGRID,2022-01-11 13:25:00+05:30,0.0033,-0.0067,5,5.0,0.1212,100.0,-1.0,0,0.8509,1.0,2,0,0,0,2,3,0.1,EOD+
S038,POWERGRID,2022-01-11 13:45:00+05:30,0.0167,0.0017,0,,0.7246,50.0,-0.661,0,0.6378,0.0,4,0,1,0,4,5,-0.5089,L
