signal_id,stock,datetime,p01,p02,p03,p04,p05,p06,p07,p07_na,p08,p09,p10,p11,p12,same_candle_tb,bounce_bar_index,entry_bar_index,bounce_datetime,entry_datetime,exit_datetime,entry_price,sl,target,pnl,outcome
S001,POWERGRID,2022-01-03 11:30:00+05:30,-0.0695,-0.0943,0,,1.0459,25.0,-0.685,0,0.1143,0.0,9,0,1,0,9,10,2022-01-03 12:15:00+05:30,2022-01-03 12:20:00+05:30,2022-01-03 14:05:00+05:30,150.9,150.14107142857142,152.26607142857142,-0.7589,L
S002,POWERGRID,2022-01-03 12:35:00+05:30,-0.0182,-0.0746,3,3.0,0.3379,75.0,-0.2857,0,0.3956,1.0,1,0,1,0,1,2,2022-01-03 12:40:00+05:30,2022-01-03 12:45:00+05:30,2022-01-03 13:55:00+05:30,150.8,150.28214285714287,151.73214285714286,-0.5179,L
S003,POWERGRID,2022-01-03 12:50:00+05:30,0.0033,-0.0182,0,,0.8292,85.71,-1.0,0,1.6325,,0,0,0,1,0,1,2022-01-03 12:50:00+05:30,2022-01-03 12:55:00+05:30,2022-01-03 13:55:00+05:30,150.9,150.3196428571429,151.94464285714284,-0.5804,L
S004,POWERGRID,2022-01-03 13:10:00+05:30,0.0083,0.0116,2,2.0,0.4317,40.0,0.0811,0,0.7191,,0,0,1,1,0,1,2022-01-03 13:10:00+05:30,2022-01-03 13:15:00+05:30,2022-01-03 14:05:00+05:30,150.75,150.21428571428572,151.71428571428567,-0.5357,L
S005,POWERGRID,2022-01-03 13:20:00+05:30,-0.0182,0.0149,0,,0.779,0.0,-0.1304,0,0.5564,1.0,2,0,1,0,2,3,2022-01-03 13:30:00+05:30,2022-01-03 13:35:00+05:30,2022-01-03 13:55:00+05:30,150.85,150.29642857142858,151.84642857142853,-0.5536,L
S006,POWERGRID,2022-01-04 12:15:00+05:30,-0.374,-0.3488,0,,1.1487,16.67,-0.6875,0,0.6978,1.0,9,1,0,0,9,10,2022-01-04 13:00:00+05:30,2022-01-04 13:05:00+05:30,2022-01-04 15:00:00+05:30,153.25,152.20535714285714,155.13035714285712,1.35,EOD+
S007,POWERGRID,2022-01-04 13:10:00+05:30,-0.0539,-0.1534,0,,0.0,75.0,,1,0.6046,0.0,2,1,1,0,2,3,2022-01-04 13:20:00+05:30,2022-01-04 13:25:00+05:30,2022-01-04 14:55:00+05:30,153.45,152.86964285714282,154.49464285714288,1.0446,W
S008,POWERGRID,2022-01-04 13:40:00+05:30,0.0734,0.0571,3,3.0,0.3076,0.0,1.069,0,0.9768,,0,0,0,1,0,1,2022-01-04 13:40:00+05:30,2022-01-04 13:45:00+05:30,2022-01-04 14:55:00+05:30,153.4,152.81071428571428,154.46071428571432,1.0607,W
S009,POWERGRID,2022-01-05 09:15:00+05:30,,,0,,2.0,21.88,-0.2778,0,3.5517,,0,1,0,1,0,1,2022-01-05 09:15:00+05:30,2022-01-05 09:20:00+05:30,2022-01-05 13:50:00+05:30,154.2,153.075,156.225,-1.125,L
S010,POWERGRID,2022-01-05 09:25:00+05:30,,,0,,0.2368,54.55,0.7391,0,0.745,,0,0,0,1,0,1,2022-01-05 09:25:00+05:30,2022-01-05 09:30:00+05:30,2022-01-05 12:00:00+05:30,154.45,153.2357142857143,156.63571428571427,-1.2143,L
S011,POWERGRID,2022-01-05 09:35:00+05:30,,,0,,0.6206,66.67,-0.84,0,0.7754,,0,1,0,1,0,1,2022-01-05 09:35:00+05:30,2022-01-05 09:40:00+05:30,2022-01-05 14:30:00+05:30,154.2,152.94107142857143,156.4660714285714,-1.2589,L
S012,POWERGRID,2022-01-05 10:05:00+05:30,0.0777,0.0502,4,3.0,0.1278,33.33,0.7391,0,0.3352,,0,0,0,1,0,1,2022-01-05 10:05:00+05:30,2022-01-05 10:10:00+05:30,2022-01-05 12:00:00+05:30,154.5,153.375,156.52499999999998,-1.125,L
S013,POWERGRID,2022-01-05 11:30:00+05:30,-0.0795,-0.0616,0,,1.6032,50.0,-0.7183,0,0.3082,1.0,9,1,1,0,9,10,2022-01-05 12:15:00+05:30,2022-01-05 12:20:00+05:30,2022-01-05 13:20:00+05:30,153.8,153.2464285714286,154.79642857142858,-0.5536,L
S014,POWERGRID,2022-01-05 12:25:00+05:30,-0.0341,-0.1268,0,,0.0237,50.0,19.0,0,0.3895,,0,1,1,1,0,1,2022-01-05 12:25:00+05:30,2022-01-05 12:30:00+05:30,2022-01-05 12:45:00+05:30,153.9,153.3732142857143,154.84821428571428,-0.5268,L
S015,POWERGRID,2022-01-05 12:40:00+05:30,0.013,-0.0341,1,1.0,0.7,42.86,-0.3846,0,1.8934,1.0,5,0,0,0,5,6,2022-01-05 13:05:00+05:30,2022-01-05 13:10:00+05:30,2022-01-05 13:15:00+05:30,153.85,153.26964285714286,154.89464285714283,-0.5804,L
S016,POWERGRID,2022-01-05 13:15:00+05:30,-0.0521,-0.0455,0,,1.7306,100.0,-1.0,0,0.4978,0.0,2,0,0,0,2,3,2022-01-05 13:25:00+05:30,2022-01-05 13:30:00+05:30,2022-01-05 13:50:00+05:30,153.7,153.05714285714285,154.85714285714283,-0.6429,L
S017,POWERGRID,2022-01-05 13:35:00+05:30,-0.0342,-0.0651,0,,0.8419,0.0,0.1236,0,0.5679,,0,0,1,1,0,1,2022-01-05 13:35:00+05:30,2022-01-05 13:40:00+05:30,2022-01-05 13:50:00+05:30,153.7,153.0392857142857,154.8892857142857,-0.6607,L
